"Name","API Name","Instance Memory","vCPUs","GiB of Memory per vCPU","Instance Storage","Network Performance","Linux On Demand cost"
"D2 Double Extra Large","d2.2xlarge","61.0 GiB","8 vCPUs","7.62 GiB/vCPU","12288 GB                 (6 * 2048 GB HDD)","High","$1.3800 hourly"
"C6GN Eight Extra Large","c6gn.8xlarge","64.0 GiB","32 vCPUs","2.00 GiB/vCPU","EBS only","50 Gigabit","$1.3824 hourly"
"M6A Eight Extra Large","m6a.8xlarge","128.0 GiB","32 vCPUs","4.00 GiB/vCPU","EBS only","12.5 Gigabit","$1.3824 hourly"
"R6IN Quadruple Extra Large","r6in.4xlarge","128.0 GiB","16 vCPUs","8.00 GiB/vCPU","EBS only","Up to 50 Gigabit","$1.3946 hourly"
"M6GD Eight Extra Large","m6gd.8xlarge","128.0 GiB","32 vCPUs","4.00 GiB/vCPU","1900 GB                 NVMe SSD","12 Gigabit","$1.4464 hourly"
"IM4GN Quadruple Extra Large","im4gn.4xlarge","64.0 GiB","16 vCPUs","4.00 GiB/vCPU","7500 GB                 NVMe SSD","25 Gigabit","$1.4552 hourly"
"C5 High-CPU 9xlarge","c5.9xlarge","72.0 GiB","36 vCPUs","2.00 GiB/vCPU","EBS only","12 Gigabit","$1.5300 hourly"
"M6I Eight Extra Large","m6i.8xlarge","128.0 GiB","32 vCPUs","4.00 GiB/vCPU","EBS only","12.5 Gigabit","$1.5360 hourly"
"M5 General Purpose Eight Extra Large","m5.8xlarge","128.0 GiB","32 vCPUs","4.00 GiB/vCPU","EBS only","10 Gigabit","$1.5360 hourly"
"R6IDN Quadruple Extra Large","r6idn.4xlarge","128.0 GiB","16 vCPUs","8.00 GiB/vCPU","950 GB                 NVMe SSD","Up to 50 Gigabit","$1.5631 hourly"
"C4 High-CPU Eight Extra Large","c4.8xlarge","60.0 GiB","36 vCPUs","1.67 GiB/vCPU","EBS only","10 Gigabit","$1.5910 hourly"
"C6ID Eight Extra Large","c6id.8xlarge","64.0 GiB","32 vCPUs","2.00 GiB/vCPU","1900 GB                 NVMe SSD","12.5 Gigabit","$1.6128 hourly"
"R6G Eight Extra Large","r6g.8xlarge","256.0 GiB","32 vCPUs","8.00 GiB/vCPU","EBS only","12 Gigabit","$1.6128 hourly"
